image,image_name,error_type,gt_class_id,gt_class,pred_class_id,pred_class,conf,iou,gt_xyxy,pred_xyxy,visualization
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_109.jpg,crazing_109.jpg,bad_location,0,crazing,0,crazing,0.257355,0.471662,39.00 38.00 198.00 87.00,66.68 0.20 199.00 93.05,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_109.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_109.jpg,crazing_109.jpg,bad_location,0,crazing,0,crazing,0.371054,0.279440,77.00 1.00 199.00 42.00,5.81 0.71 199.00 93.37,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_109.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_109.jpg,crazing_109.jpg,false_positive,,,0,crazing,0.349102,,,16.84 1.31 133.39 128.22,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_109.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_109.jpg,crazing_109.jpg,false_positive,,,0,crazing,0.190843,,,0.10 101.18 68.77 190.77,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_109.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_109.jpg,crazing_109.jpg,false_positive,,,0,crazing,0.154110,,,7.21 31.31 151.35 133.36,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_109.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_109.jpg,crazing_109.jpg,false_positive,,,0,crazing,0.136244,,,12.05 5.49 173.75 133.62,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_109.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_117.jpg,crazing_117.jpg,bad_location,0,crazing,0,crazing,0.278982,0.379655,12.00 39.00 154.00 144.00,68.96 13.54 181.81 129.65,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_117.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_117.jpg,crazing_117.jpg,false_positive,,,0,crazing,0.166708,,,0.19 15.47 102.38 76.10,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_117.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_117.jpg,crazing_117.jpg,false_positive,,,0,crazing,0.133716,,,0.00 107.30 152.34 194.66,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_117.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_118.jpg,crazing_118.jpg,bad_location,0,crazing,0,crazing,0.574966,0.458376,44.00 120.00 178.00 173.00,18.79 120.71 140.01 193.89,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_118.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_118.jpg,crazing_118.jpg,bad_location,0,crazing,0,crazing,0.197741,0.342698,58.00 82.00 195.00 133.00,1.68 89.62 185.20 169.36,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_118.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_118.jpg,crazing_118.jpg,false_positive,,,0,crazing,0.308878,,,2.39 7.67 119.67 82.68,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_118.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_118.jpg,crazing_118.jpg,false_negative,0,crazing,,,,,7.00 144.00 79.00 188.00,,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_negative/crazing/crazing_118.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_118.jpg,crazing_118.jpg,false_negative,0,crazing,,,,,1.00 65.00 75.00 138.00,,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_negative/crazing/crazing_118.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_122.jpg,crazing_122.jpg,bad_location,0,crazing,0,crazing,0.644240,0.264849,82.00 136.00 195.00 166.00,81.69 68.01 189.88 162.40,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_122.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_122.jpg,crazing_122.jpg,false_negative,0,crazing,,,,,44.00 73.00 109.00 133.00,,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_negative/crazing/crazing_122.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.408661,,,0.00 61.30 86.62 156.85,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.166423,,,134.10 155.85 199.00 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.165289,,,61.06 156.08 198.15 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.138167,,,10.56 0.00 183.27 41.62,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.136909,,,7.96 49.14 166.60 151.28,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.126743,,,83.78 95.74 192.07 151.61,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_157.jpg,crazing_157.jpg,false_positive,,,0,crazing,0.118293,,,8.84 94.98 166.84 150.96,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_157.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_158.jpg,crazing_158.jpg,false_positive,,,0,crazing,0.429470,,,51.84 63.85 196.56 166.54,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_158.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_18.jpg,crazing_18.jpg,false_positive,,,0,crazing,0.275585,,,0.03 60.69 86.88 123.42,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_18.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_18.jpg,crazing_18.jpg,false_positive,,,0,crazing,0.172456,,,0.00 1.82 92.62 123.99,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_18.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,bad_location,0,crazing,0,crazing,0.364297,0.475517,4.00 94.00 177.00 152.00,0.00 95.22 197.01 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.432723,,,0.00 0.00 58.70 80.64,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.257308,,,8.66 146.72 196.36 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.232036,,,0.00 0.06 95.65 82.05,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.196677,,,0.17 155.11 152.78 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
